iter	Passed	Remaining
455	868	1036
456	869	1033
457	871	1031
458	872	1028
459	874	1026
460	875	1023
461	878	1022
462	879	1020
463	881	1017
464	882	1015
465	883	1012
466	884	1010
467	886	1007
468	887	1005
469	888	1002
470	890	1000
471	892	997
472	894	996
473	895	993
474	896	990
475	897	988
476	899	986
477	900	983
478	902	982
479	904	979
480	905	976
481	907	975
482	909	973
483	910	970
484	911	968
485	913	965
486	914	963
487	916	961
488	917	958
489	919	956
490	920	954
491	921	951
492	924	950
493	926	948
494	927	946
495	928	943
496	930	941
497	931	938
498	932	936
499	934	934
500	935	931
501	937	929
502	939	927
503	940	926
504	942	923
505	943	921
506	945	919
507	946	916
508	948	914
509	949	912
510	950	909
511	952	907
512	954	906
513	956	904
514	957	901
515	959	899
516	960	897
517	961	894
518	963	892
519	964	890
520	965	887
521	967	885
522	969	883
523	970	881
524	972	879
525	973	877
526	974	875
527	976	872
528	978	871
529	979	868
530	980	866
531	982	864
532	984	862
533	986	860
534	987	858
535	989	856
536	990	853
537	991	851
538	993	849
539	994	847
540	995	844
541	997	842
542	1000	841
543	1001	839
544	1003	837
545	1004	835
546	1007	834
547	1008	831
548	1009	829
549	1012	828
550	1013	825
551	1015	824
552	1017	822
553	1018	820
554	1020	818
555	1022	816
556	1023	813
557	1024	811
558	1026	809
559	1027	807
560	1029	805
561	1031	803
562	1032	801
563	1034	799
564	1035	797
565	1037	795
566	1038	793
567	1039	790
568	1041	788
569	1042	786
570	1043	784
571	1045	782
572	1047	780
573	1049	778
574	1050	776
575	1052	774
576	1053	772
577	1055	770
578	1056	768
579	1058	766
580	1061	765
581	1062	763
582	1064	761
583	1065	759
584	1068	757
585	1069	755
586	1071	753
587	1072	751
588	1074	749
589	1076	748
590	1078	746
591	1079	744
592	1082	742
593	1084	740
594	1085	738
595	1087	737
596	1088	735
597	1090	733
598	1092	731
599	1094	729
600	1095	727
601	1097	725
602	1098	723
603	1099	721
604	1101	719
605	1102	717
606	1105	715
607	1107	714
608	1109	712
609	1110	710
610	1112	708
611	1113	705
612	1115	703
613	1116	701
614	1117	699
615	1119	697
616	1120	695
617	1123	694
618	1124	692
619	1126	690
620	1127	688
621	1128	686
622	1130	684
623	1131	681
624	1132	679
625	1134	677
626	1135	675
627	1138	674
628	1139	672
629	1141	670
630	1142	668
631	1144	666
632	1146	664
633	1147	662
634	1148	660
635	1150	658
636	1151	656
637	1153	654
638	1154	652
639	1156	650
640	1158	648
641	1159	646
642	1161	644
643	1162	642
644	1164	640
645	1166	638
646	1168	637
647	1170	635
648	1171	633
649	1173	631
650	1174	629
651	1176	627
652	1177	625
653	1178	623
654	1180	621
655	1182	620
656	1184	618
657	1185	616
658	1187	614
659	1189	612
660	1191	610
661	1192	608
662	1193	606
663	1195	605
664	1197	603
665	1198	601
666	1200	599
667	1201	597
668	1203	595
669	1205	593
670	1206	591
671	1208	589
672	1209	587
673	1211	586
674	1214	584
675	1215	582
676	1217	580
677	1218	578
678	1219	576
679	1221	574
680	1223	573
681	1224	571
682	1226	569
683	1227	567
684	1229	565
685	1230	563
686	1232	561
687	1233	559
688	1234	557
689	1236	555
690	1237	553
691	1239	551
692	1240	549
693	1242	547
694	1244	546
695	1246	544
696	1247	542
697	1248	540
698	1250	538
699	1252	536
700	1254	535
701	1257	533
702	1258	531
703	1260	530
704	1261	528
705	1263	526
706	1264	524
707	1265	522
708	1267	520
709	1268	518
710	1269	516
711	1271	514
712	1272	512
713	1274	510
714	1276	508
715	1277	506
716	1278	504
717	1280	502
718	1281	500
719	1282	498
720	1284	497
721	1286	495
722	1288	493
723	1289	491
724	1290	489
725	1292	487
726	1294	486
727	1295	484
728	1296	482
729	1298	480
730	1300	478
731	1302	476
732	1304	475
733	1305	473
734	1307	471
735	1308	469
736	1309	467
737	1310	465
738	1312	463
739	1313	461
740	1314	459
741	1316	457
742	1317	455
743	1319	454
744	1321	452
745	1322	450
746	1323	448
747	1325	446
748	1326	444
749	1328	442
750	1329	440
751	1330	438
752	1332	436
753	1334	435
754	1336	433
755	1337	431
756	1338	429
757	1340	427
758	1341	425
759	1342	424
760	1344	422
761	1345	420
762	1346	418
763	1350	417
764	1352	415
765	1354	413
766	1355	411
767	1357	410
768	1358	408
769	1359	406
770	1361	404
771	1362	402
772	1365	400
773	1366	399
774	1368	397
775	1369	395
776	1371	393
777	1372	391
778	1374	389
779	1375	388
780	1377	386
781	1378	384
782	1380	382
783	1381	380
784	1383	378
785	1384	377
786	1386	375
787	1387	373
788	1388	371
789	1391	369
790	1392	368
791	1395	366
792	1396	364
793	1397	362
794	1399	360
795	1400	358
796	1401	357
797	1403	355
798	1404	353
799	1406	351
800	1407	349
801	1410	348
802	1411	346
803	1413	344
804	1414	342
805	1415	340
806	1417	338
807	1418	337
808	1419	335
809	1420	333
810	1422	331
811	1424	329
812	1426	328
813	1428	326
814	1429	324
815	1431	322
816	1432	320
817	1434	319
818	1436	317
819	1437	315
820	1439	313
821	1441	312
822	1442	310
823	1444	308
824	1445	306
825	1446	304
826	1448	302
827	1449	301
828	1450	299
829	1452	297
830	1453	295
831	1456	294
832	1457	292
833	1459	290
834	1460	288
835	1461	286
836	1463	284
837	1464	283
838	1466	281
839	1468	279
840	1470	278
841	1472	276
842	1474	274
843	1475	272
844	1476	270
845	1477	269
846	1479	267
847	1480	265
848	1482	263
849	1483	261
850	1485	260
851	1487	258
852	1489	256
853	1490	254
854	1492	253
855	1493	251
856	1495	249
857	1496	247
858	1498	245
859	1500	244
860	1503	242
861	1504	240
862	1506	239
863	1507	237
864	1508	235
865	1510	233
866	1511	231
867	1513	230
868	1514	228
869	1516	226
870	1518	224
871	1520	223
872	1521	221
873	1523	219
874	1525	217
875	1526	216
876	1527	214
877	1529	212
878	1531	210
879	1534	209
880	1535	207
881	1537	205
882	1538	203
883	1540	202
884	1541	200
885	1543	198
886	1545	196
887	1547	195
888	1550	193
889	1551	191
890	1553	190
891	1555	188
892	1556	186
893	1558	184
894	1560	183
895	1561	181
896	1564	179
897	1565	177
898	1567	176
899	1569	174
900	1570	172
901	1572	170
902	1573	169
903	1575	167
904	1577	165
905	1579	163
906	1581	162
907	1582	160
908	1584	158
909	1585	156
910	1587	155
911	1588	153
912	1590	151
913	1591	149
914	1594	148
915	1595	146
916	1597	144
917	1598	142
918	1600	141
919	1601	139
920	1603	137
921	1604	135
922	1605	133
923	1607	132
924	1609	130
925	1610	128
926	1612	126
927	1613	125
928	1615	123
929	1616	121
930	1618	119
931	1619	118
932	1621	116
933	1623	114
934	1625	112
935	1627	111
936	1628	109
937	1630	107
938	1631	105
939	1633	104
940	1634	102
941	1635	100
942	1637	99
943	1640	97
944	1642	95
945	1643	93
946	1644	92
947	1646	90
948	1647	88
949	1648	86
950	1651	85
951	1652	83
952	1654	81
953	1656	79
954	1658	78
955	1659	76
956	1660	74
957	1661	72
958	1663	71
959	1665	69
960	1666	67
961	1669	65
962	1670	64
963	1672	62
964	1674	60
965	1675	58
966	1677	57
967	1678	55
968	1679	53
969	1681	51
970	1682	50
971	1685	48
972	1686	46
973	1689	45
974	1690	43
975	1691	41
976	1693	39
977	1694	38
978	1696	36
979	1697	34
980	1699	32
981	1700	31
982	1702	29
983	1703	27
984	1704	25
985	1706	24
986	1707	22
987	1709	20
988	1710	19
989	1711	17
990	1712	15
991	1715	13
992	1716	12
993	1717	10
994	1719	8
995	1720	6
996	1722	5
997	1723	3
998	1725	1
999	1727	0
